"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2504_C01_001E","Occupied housing units!!Estimate!!Occupied housing units"
"S2504_C01_001EA","Annotation of Occupied housing units!!Estimate!!Occupied housing units"
"S2504_C01_001M","Occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C01_001MA","Annotation of Occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C02_001E","Percent occupied housing units!!Estimate!!Occupied housing units"
"S2504_C02_001EA","Annotation of Percent occupied housing units!!Estimate!!Occupied housing units"
"S2504_C02_001M","Percent occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C02_001MA","Annotation of Percent occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C03_001E","Owner-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C03_001EA","Annotation of Owner-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C03_001M","Owner-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C03_001MA","Annotation of Owner-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C04_001E","Percent owner-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C04_001EA","Annotation of Percent owner-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C04_001M","Percent owner-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C04_001MA","Annotation of Percent owner-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C05_001E","Renter-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C05_001EA","Annotation of Renter-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C05_001M","Renter-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C05_001MA","Annotation of Renter-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C06_001E","Percent renter-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C06_001EA","Annotation of Percent renter-occupied housing units!!Estimate!!Occupied housing units"
"S2504_C06_001M","Percent renter-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C06_001MA","Annotation of Percent renter-occupied housing units!!Margin of Error!!Occupied housing units"
"S2504_C01_002E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_002M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_002MA","Annotation of Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C01_002EA","Annotation of Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C02_002E","Percent occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C02_002EA","Annotation of Percent occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C02_002M","Percent occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C02_002MA","Annotation of Percent occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C03_002E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C03_002M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C03_002MA","Annotation of Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C03_002EA","Annotation of Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C04_002E","Percent owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C04_002M","Percent owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C04_002MA","Annotation of Percent owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C04_002EA","Annotation of Percent owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C05_002E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
"S2504_C05_002M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C05_002MA","Annotation of Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached"
"S2504_C05_002EA","Annotation of Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached"
