"Column Name","Label"
"S0101_C04_004M","Percent Male!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C04_004MA","Annotation of Percent Male!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C04_004EA","Annotation of Percent Male!!Estimate!!AGE!!10 to 14 years"
"S0101_C05_004E","Female!!Estimate!!AGE!!10 to 14 years"
"S0101_C05_004M","Female!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C05_004MA","Annotation of Female!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C05_004EA","Annotation of Female!!Estimate!!AGE!!10 to 14 years"
"S0101_C06_004E","Percent Female!!Estimate!!AGE!!10 to 14 years"
"S0101_C06_004EA","Annotation of Percent Female!!Estimate!!AGE!!10 to 14 years"
"S0101_C06_004M","Percent Female!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C06_004MA","Annotation of Percent Female!!Margin of Error!!AGE!!10 to 14 years"
"S0101_C01_005E","Total!!Estimate!!AGE!!15 to 19 years"
"S0101_C01_005EA","Annotation of Total!!Estimate!!AGE!!15 to 19 years"
"S0101_C01_005M","Total!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C01_005MA","Annotation of Total!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C02_005E","Percent!!Estimate!!AGE!!15 to 19 years"
"S0101_C02_005M","Percent!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C02_005MA","Annotation of Percent!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C02_005EA","Annotation of Percent!!Estimate!!AGE!!15 to 19 years"
"S0101_C03_005E","Male!!Estimate!!AGE!!15 to 19 years"
"S0101_C03_005EA","Annotation of Male!!Estimate!!AGE!!15 to 19 years"
"S0101_C03_005M","Male!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C03_005MA","Annotation of Male!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C04_005E","Percent Male!!Estimate!!AGE!!15 to 19 years"
"S0101_C04_005EA","Annotation of Percent Male!!Estimate!!AGE!!15 to 19 years"
"S0101_C04_005M","Percent Male!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C04_005MA","Annotation of Percent Male!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C05_005E","Female!!Estimate!!AGE!!15 to 19 years"
"S0101_C05_005M","Female!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C05_005MA","Annotation of Female!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C05_005EA","Annotation of Female!!Estimate!!AGE!!15 to 19 years"
"S0101_C06_005E","Percent Female!!Estimate!!AGE!!15 to 19 years"
"S0101_C06_005M","Percent Female!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C06_005MA","Annotation of Percent Female!!Margin of Error!!AGE!!15 to 19 years"
"S0101_C06_005EA","Annotation of Percent Female!!Estimate!!AGE!!15 to 19 years"
"S0101_C01_006E","Total!!Estimate!!AGE!!20 to 24 years"
"S0101_C01_006M","Total!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C01_006MA","Annotation of Total!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C01_006EA","Annotation of Total!!Estimate!!AGE!!20 to 24 years"
"S0101_C02_006E","Percent!!Estimate!!AGE!!20 to 24 years"
"S0101_C02_006M","Percent!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C02_006MA","Annotation of Percent!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C02_006EA","Annotation of Percent!!Estimate!!AGE!!20 to 24 years"
"S0101_C03_006E","Male!!Estimate!!AGE!!20 to 24 years"
"S0101_C03_006M","Male!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C03_006MA","Annotation of Male!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C03_006EA","Annotation of Male!!Estimate!!AGE!!20 to 24 years"
"S0101_C04_006E","Percent Male!!Estimate!!AGE!!20 to 24 years"
"S0101_C04_006M","Percent Male!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C04_006MA","Annotation of Percent Male!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C04_006EA","Annotation of Percent Male!!Estimate!!AGE!!20 to 24 years"
"S0101_C05_006E","Female!!Estimate!!AGE!!20 to 24 years"
"S0101_C05_006EA","Annotation of Female!!Estimate!!AGE!!20 to 24 years"
"S0101_C05_006M","Female!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C05_006MA","Annotation of Female!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C06_006E","Percent Female!!Estimate!!AGE!!20 to 24 years"
"S0101_C06_006M","Percent Female!!Margin of Error!!AGE!!20 to 24 years"
"S0101_C06_006MA","Annotation of Percent Female!!Margin of Error!!AGE!!20 to 24 years"
