"Column Name","Label"
"S0701PR_C01_025E","Estimate!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S0701PR_C01_025M","Margin of Error!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S0701PR_C01_025MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S0701PR_C01_025EA","Annotation of Estimate!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S0701PR_C01_026E","Estimate!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S0701PR_C01_026M","Margin of Error!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S0701PR_C01_026MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S0701PR_C01_026EA","Annotation of Estimate!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S0701PR_C01_027E","Estimate!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S0701PR_C01_027EA","Annotation of Estimate!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S0701PR_C01_027M","Margin of Error!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S0701PR_C01_027MA","Annotation of Margin of Error!!Total!!Population 1 year and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S0701PR_C01_028E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0701PR_C01_028M","Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0701PR_C01_028MA","Annotation of Margin of Error!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0701PR_C01_028EA","Annotation of Estimate!!Total!!MARITAL STATUS!!Population 15 years and over"
"S0701PR_C01_029E","Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married"
